Format Version,1.23,Take Name,Take 2024-04-16 11.18.04 AM_004,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-16 11.53.18.899 AM,Capture Start Frame,433325,Total Frames in Take,3649,Total Exported Frames,3649,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1320,Unlabeled 1320,Unlabeled 1320,Unlabeled 1321,Unlabeled 1321,Unlabeled 1321,Unlabeled 1322,Unlabeled 1322,Unlabeled 1322,Unlabeled 1324,Unlabeled 1324,Unlabeled 1324
,ID,"CF6B0","CF6B0","CF6B0","CF6D0","CF6D0","CF6D0","CF6E0","CF6E0","CF6E0","CF720","CF720","CF720"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
135,1.125000,0.079997,0.032812,0.458158,0.178878,0.020467,0.342076,0.087282,0.005991,0.369355,,,
136,1.133333,0.080066,0.032998,0.458119,0.180163,0.020269,0.342690,0.087330,0.006138,0.369401,,,
137,1.141667,0.080171,0.033281,0.458097,0.180849,0.020551,0.343308,0.087722,0.008902,0.369594,,,
138,1.150000,0.080409,0.033661,0.458385,0.180688,0.021337,0.343112,0.087747,0.012813,0.369286,,,
139,1.158333,0.080620,0.034418,0.458338,0.180483,0.022472,0.342724,0.087595,0.014556,0.368804,,,
140,1.166667,0.081021,0.035108,0.458350,0.181085,0.023475,0.342663,0.088293,0.015690,0.368486,,,
141,1.175000,0.081247,0.035714,0.457662,0.182805,0.023429,0.343528,0.089205,0.016303,0.368457,,,
142,1.183333,0.081658,0.036195,0.457625,0.184826,0.022734,0.344648,0.089778,0.017116,0.368336,,,
143,1.191667,0.082057,0.036619,0.457865,0.186122,0.022529,0.345179,0.090213,0.017867,0.368442,,,
144,1.200000,0.082280,0.037050,0.457979,0.186523,0.022849,0.345309,0.090415,0.018678,0.368304,,,
145,1.208333,0.082393,0.037548,0.457936,0.186577,0.023135,0.345337,0.090454,0.019356,0.368430,,,
146,1.216667,0.082506,0.037991,0.457952,0.186644,0.023120,0.345297,0.090332,0.019890,0.368565,,,
147,1.225000,0.082573,0.038329,0.457953,0.186928,0.022747,0.345369,0.090011,0.020177,0.368495,,,
148,1.233333,0.082625,0.038647,0.457793,0.187176,0.022232,0.345210,0.089701,0.020253,0.368501,,,
149,1.241667,0.082596,0.039012,0.457395,0.187525,0.021574,0.345172,0.089394,0.020276,0.368445,,,
150,1.250000,0.082646,0.039390,0.457242,0.188002,0.020966,0.345388,0.089182,0.020315,0.368379,,,
151,1.258333,0.082707,0.039688,0.457169,0.188579,0.020518,0.345749,0.089005,0.020438,0.368278,,,
152,1.266667,0.082742,0.039972,0.457046,0.189008,0.020451,0.345778,0.088805,0.020566,0.368129,,,
153,1.275000,0.082766,0.040236,0.456856,0.189427,0.020477,0.345723,0.088665,0.020667,0.367921,,,
154,1.283333,0.082811,0.040438,0.456746,0.190064,0.020405,0.346100,0.088577,0.020801,0.367694,,,
155,1.291667,0.082832,0.040660,0.456498,0.190592,0.020475,0.346267,0.088556,0.020923,0.367471,,,
156,1.300000,0.082875,0.040931,0.456350,0.191046,0.020559,0.346288,0.088513,0.020984,0.367265,,,
157,1.308333,0.082945,0.041144,0.456256,0.191574,0.020631,0.346447,0.088447,0.021016,0.367064,,,
158,1.316667,0.082915,0.041397,0.456023,0.191928,0.020679,0.346498,0.088344,0.021017,0.366855,,,
159,1.325000,0.082848,0.041638,0.455700,0.192194,0.020601,0.346557,0.088187,0.020879,0.366671,,,
160,1.333333,0.082800,0.041814,0.455520,0.192402,0.020450,0.346590,0.087971,0.020608,0.366546,,,
161,1.341667,0.082760,0.041957,0.455364,0.192514,0.020298,0.346529,0.087726,0.020142,0.366454,,,
162,1.350000,0.082707,0.042091,0.455231,0.192518,0.020113,0.346355,0.087397,0.019685,0.366266,,,
163,1.358333,0.082661,0.042231,0.455128,0.192498,0.019834,0.346217,0.086993,0.019239,0.365962,,,
164,1.366667,0.082593,0.042420,0.454992,0.192494,0.019581,0.346103,0.086721,0.018625,0.365967,,,
165,1.375000,0.082557,0.042599,0.454892,0.192471,0.019473,0.345920,0.086393,0.018136,0.365724,,,
166,1.383333,0.082483,0.042837,0.454758,0.192459,0.019432,0.345746,0.086140,0.017518,0.365625,,,
167,1.391667,0.082372,0.043106,0.454491,0.192430,0.019476,0.345481,0.085932,0.017093,0.365550,,,
168,1.400000,0.082286,0.043351,0.454269,0.192463,0.019465,0.345329,0.085739,0.016853,0.365345,,,
169,1.408333,0.082257,0.043578,0.454132,0.192534,0.019431,0.345243,0.085506,0.016765,0.364997,,,
170,1.416667,0.082206,0.043866,0.453935,0.192559,0.019507,0.345053,0.085329,0.016742,0.364731,,,
171,1.425000,0.082146,0.044195,0.453646,0.192611,0.019656,0.344894,0.085209,0.016730,0.364532,,,
172,1.433333,0.082028,0.044598,0.453312,0.192702,0.019767,0.344828,0.085093,0.016767,0.364303,,,
173,1.441667,0.081931,0.045030,0.452938,0.192782,0.019841,0.344738,0.085012,0.016783,0.364123,,,
174,1.450000,0.081937,0.045339,0.452891,0.192883,0.019869,0.344635,0.084889,0.016808,0.363866,,,
175,1.458333,0.081911,0.045691,0.452740,0.193012,0.019949,0.344506,0.084774,0.016911,0.363601,,,
176,1.466667,0.081776,0.046177,0.452246,0.193191,0.020120,0.344325,0.084584,0.017215,0.363180,,,
177,1.475000,0.081482,0.046832,0.451588,0.193221,0.020576,0.343900,0.084305,0.017751,0.362670,,,
178,1.483333,0.081206,0.047401,0.451025,0.193147,0.021062,0.343498,0.084199,0.018359,0.362240,,,
179,1.491667,0.080927,0.048002,0.450332,0.193058,0.021538,0.342964,0.084026,0.019044,0.361422,,,
180,1.500000,0.080727,0.048585,0.449732,0.193168,0.021827,0.342696,0.083936,0.019714,0.360701,,,
181,1.508333,0.080521,0.049198,0.449114,0.193205,0.022118,0.342115,0.083884,0.020468,0.359799,,,
182,1.516667,0.080303,0.049810,0.448503,0.193278,0.022409,0.341463,0.083869,0.021154,0.358834,,,
183,1.525000,0.080126,0.050407,0.447836,0.193583,0.022482,0.341304,0.083910,0.021827,0.357969,,,
184,1.533333,0.079849,0.051113,0.446975,0.193850,0.022631,0.340980,0.083889,0.022588,0.356792,,,
