Format Version,1.1,Take Name,Trial03,Capture Frame Rate,120.014526,Export Frame Rate,120.014526,Capture Start Time,2017-11-07 07.12.50.309 PM,Total Frames,646,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_11922,Marker_11922,Marker_11922,Marker_11914,Marker_11914,Marker_11914,Marker_11916,Marker_11916,Marker_11916
,,"8392B20CF49E35702E92","8392B20CF49E35702E92","8392B20CF49E35702E92","8392B20CF49E35702E8A","8392B20CF49E35702E8A","8392B20CF49E35702E8A","8392B20CF49E35702E8C","8392B20CF49E35702E8C","8392B20CF49E35702E8C"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
135,1.124864,0.115898,0.062854,-0.019700,0.120781,0.071323,0.063523,0.103853,0.056333,0.124598
136,1.133196,0.115911,0.063151,-0.019511,0.121096,0.071338,0.063673,0.104060,0.056249,0.124716
137,1.141528,0.114136,0.062671,-0.019366,0.121335,0.071355,0.063725,0.104259,0.056207,0.124814
138,1.149861,0.110360,0.061548,-0.019129,0.121114,0.071149,0.063566,0.104464,0.056200,0.124866
139,1.158193,0.105421,0.060047,-0.018669,0.120800,0.071087,0.063316,0.104497,0.056192,0.124869
140,1.166525,0.099498,0.058214,-0.017876,0.120088,0.070875,0.062944,0.104438,0.056213,0.124836
141,1.174858,0.093082,0.056350,-0.016642,0.119411,0.070857,0.062561,0.104193,0.056227,0.124744
142,1.183190,0.086661,0.054582,-0.014985,0.118382,0.070728,0.062125,0.103957,0.056304,0.124611
143,1.191522,0.080517,0.052976,-0.013090,0.117379,0.070746,0.061727,0.103588,0.056384,0.124444
144,1.199855,0.074940,0.051330,-0.011240,0.116224,0.070693,0.061325,0.103024,0.056463,0.124273
145,1.208187,0.071350,0.050377,-0.009792,0.115258,0.070744,0.061027,0.102619,0.056586,0.124112
146,1.216519,0.069052,0.049671,-0.009096,0.114514,0.070725,0.060803,0.102255,0.056852,0.123917
147,1.224852,0.068325,0.049561,-0.009009,0.113827,0.070715,0.060683,0.101839,0.056947,0.123800
148,1.233184,0.068855,0.049861,-0.009398,0.113612,0.070777,0.060644,0.101594,0.057031,0.123717
149,1.241516,0.069853,0.050048,-0.010110,0.113685,0.070870,0.060641,0.101349,0.057000,0.123682
150,1.249849,0.071690,0.050319,-0.010991,0.113891,0.070910,0.060696,0.101315,0.056995,0.123681
151,1.258181,0.074313,0.050700,-0.012102,0.114393,0.070930,0.060781,0.101433,0.056998,0.123714
152,1.266513,0.077818,0.051033,-0.013447,0.114935,0.070853,0.060900,0.101574,0.056916,0.123784
153,1.274846,0.082145,0.051467,-0.015027,0.115655,0.070816,0.061093,0.101738,0.056806,0.123885
154,1.283178,0.087396,0.052376,-0.016513,0.116380,0.070697,0.061308,0.101986,0.056701,0.123985
155,1.291510,0.092912,0.053615,-0.017868,0.117240,0.070750,0.061649,0.102276,0.056534,0.124068
156,1.299843,0.098638,0.055216,-0.018918,0.118108,0.070806,0.061988,0.102651,0.056512,0.124201
157,1.308175,0.104349,0.056940,-0.019590,0.119056,0.071005,0.062442,0.102823,0.056393,0.124308
158,1.316507,0.109817,0.058580,-0.019863,0.119596,0.070933,0.062840,0.103068,0.056314,0.124432
159,1.324840,0.114467,0.059755,-0.019915,0.120408,0.071142,0.063234,0.103370,0.056305,0.124512
160,1.333172,0.118005,0.060545,-0.019768,0.120817,0.071052,0.063467,0.103577,0.056303,0.124559
161,1.341504,0.120202,0.061134,-0.019576,0.121218,0.071050,0.063629,0.103797,0.056288,0.124616
162,1.349837,0.121021,0.061371,-0.019491,0.121501,0.071056,0.063712,0.103985,0.056268,0.124673
163,1.358169,0.120367,0.061135,-0.019464,0.121544,0.071003,0.063718,0.104021,0.056204,0.124724
164,1.366501,0.117936,0.060596,-0.019521,0.121441,0.070924,0.063596,0.104114,0.056194,0.124730
165,1.374834,0.113792,0.059716,-0.019531,0.121168,0.070898,0.063369,0.104129,0.056161,0.124723
166,1.383166,0.108059,0.058497,-0.019226,0.120715,0.070894,0.063021,0.104129,0.056213,0.124694
167,1.391498,0.101046,0.057000,-0.018399,0.119988,0.070849,0.062607,0.104064,0.056278,0.124649
168,1.399831,0.093062,0.055001,-0.016854,0.119005,0.070693,0.062161,0.103856,0.056315,0.124571
169,1.408163,0.084801,0.052622,-0.014564,0.118012,0.070652,0.061750,0.103671,0.056396,0.124457
170,1.416495,0.077064,0.050405,-0.011736,0.116759,0.070480,0.061313,0.103323,0.056467,0.124306
171,1.424828,0.070517,0.048586,-0.008877,0.115579,0.070358,0.060976,0.102918,0.056557,0.124157
172,1.433160,0.065741,0.047350,-0.006394,0.114599,0.070407,0.060754,0.102612,0.056694,0.123967
173,1.441492,0.063084,0.046736,-0.004987,0.113769,0.070417,0.060552,0.102282,0.056894,0.123843
174,1.449824,0.062415,0.046589,-0.004833,0.113162,0.070375,0.060446,0.101895,0.056985,0.123743
175,1.458157,0.063013,0.046744,-0.005560,0.113014,0.070440,0.060407,0.101673,0.057074,0.123681
176,1.466489,0.064742,0.047063,-0.006750,0.113081,0.070467,0.060465,0.101467,0.057067,0.123657
177,1.474821,0.067771,0.047529,-0.008392,0.113471,0.070552,0.060588,0.101339,0.056994,0.123697
178,1.483154,0.071913,0.048088,-0.010478,0.114111,0.070552,0.060707,0.101437,0.056965,0.123750
179,1.491486,0.077150,0.048897,-0.012748,0.114914,0.070598,0.060878,0.101522,0.056850,0.123838
180,1.499818,0.083212,0.049940,-0.014969,0.115948,0.070646,0.061138,0.101657,0.056705,0.123958
181,1.508151,0.089666,0.051310,-0.016856,0.116778,0.070556,0.061413,0.101938,0.056629,0.124036
182,1.516483,0.095888,0.053149,-0.018221,0.117781,0.070671,0.061776,0.102317,0.056524,0.124117
183,1.524815,0.101010,0.055157,-0.019111,0.118493,0.070761,0.062120,0.102691,0.056469,0.124225
184,1.533148,0.105343,0.057189,-0.019544,0.119281,0.070953,0.062539,0.102914,0.056340,0.124355
185,1.541480,0.108607,0.058689,-0.019668,0.119741,0.070960,0.062843,0.103352,0.056314,0.124490
186,1.549812,0.110842,0.059655,-0.019655,0.120254,0.071083,0.063110,0.103671,0.056319,0.124576
187,1.558145,0.111981,0.060159,-0.019522,0.120631,0.071093,0.063280,0.103961,0.056304,0.124674
188,1.566477,0.112001,0.060242,-0.019417,0.120771,0.071046,0.063336,0.104080,0.056259,0.124746
189,1.574809,0.110613,0.059993,-0.019273,0.120786,0.070964,0.063313,0.104215,0.056230,0.124793
190,1.583142,0.107677,0.059389,-0.018996,0.120671,0.070982,0.063208,0.104240,0.056184,0.124823
191,1.591474,0.103300,0.058248,-0.018448,0.120099,0.070760,0.062960,0.104220,0.056198,0.124817
192,1.599806,0.097769,0.056696,-0.017540,0.119680,0.070787,0.062683,0.104128,0.056252,0.124769
193,1.608139,0.091142,0.054912,-0.016093,0.118962,0.070728,0.062335,0.103989,0.056301,0.124681
194,1.616471,0.084168,0.053001,-0.014109,0.117931,0.070558,0.061980,0.103716,0.056361,0.124556
