Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.49,0.304358,0.945734,0.719374,0.137344,1.677406,0.091257,-0.209282,2.828552,0.206571,-0.31075,0.122355,0.711293,-0.240049,2.163342,0.149488,0.479276,1.66842,0.907762,-0.208722,0.897432,0.412238,0.237641,2.875175,0.910582,0.207394,2.221064,1.022518,0.253897,0.079816,0.765229,-0.217002,1.873232,0.330069
0.5,0.304702,0.945579,0.719234,0.135243,1.676964,0.096546,-0.206202,2.82995,0.203983,-0.310708,0.122323,0.711253,-0.24209,2.164035,0.15016,0.477841,1.668046,0.913018,-0.208281,0.897547,0.411689,0.237874,2.874712,0.911458,0.20599,2.220536,1.023581,0.277595,1.872834,0.871451,-0.217082,1.873634,0.329157
0.51,0.305216,0.945664,0.718943,0.132208,1.675691,0.101862,-0.206125,2.83052,0.204604,-0.310723,0.122403,0.711264,-0.244085,2.164907,0.150626,0.476654,1.667774,0.918497,-0.20788,0.8974,0.411848,0.238485,2.874484,0.912314,0.204712,2.220047,1.024824,0.278876,1.873459,0.870822,-0.216391,1.873476,0.329151
0.52,0.305561,0.945673,0.718642,0.129082,1.674966,0.106784,-0.20592,2.830856,0.205026,-0.310619,0.122401,0.711227,-0.247025,2.165648,0.151763,0.474435,1.666325,0.923609,-0.207786,0.897547,0.411533,0.238685,2.874228,0.913113,0.204204,2.220138,1.026288,0.279564,1.87356,0.87172,-0.215981,1.873626,0.328839
0.53,0.306107,0.945857,0.718142,0.124955,1.673861,0.11117,-0.205719,2.831189,0.205433,-0.31035,0.122607,0.711243,-0.249624,2.165996,0.15253,0.473557,1.666219,0.929116,-0.209631,0.898297,0.410737,0.239038,2.874075,0.91393,0.203508,2.220146,1.027386,0.282988,1.87578,0.868248,-0.215257,1.873273,0.329088
0.54,0.306614,0.946016,0.717851,0.120279,1.672164,0.115146,-0.205551,2.831715,0.205925,-0.310321,0.122607,0.71122,-0.252897,2.166152,0.153923,0.472267,1.665409,0.934711,-0.207418,0.897717,0.411198,0.239364,2.873902,0.914785,0.203201,2.22022,1.028468,0.284238,1.876155,0.869109,-0.21475,1.87297,0.329183
0.55,0.307079,0.946058,0.717436,0.114851,1.669731,0.118925,-0.205521,2.832079,0.206479,-0.310337,0.122582,0.711194,-0.256425,2.166853,0.155025,0.472386,1.666075,0.940793,-0.208861,0.898151,0.410647,0.238997,2.873425,0.915562,0.202993,2.220126,1.029709,0.284213,1.875645,0.871474,-0.213533,1.872131,0.330294
0.56,0.307452,0.946126,0.716981,0.108899,1.667229,0.12205,-0.205896,2.832311,0.207784,-0.310309,0.122627,0.711203,-0.259471,2.167558,0.156247,0.471088,1.664853,0.946291,-0.206761,0.897701,0.411198,0.238861,2.873004,0.916315,0.20283,2.220118,1.031244,0.285788,1.876406,0.871078,-0.212882,1.87193,0.330646
0.57,0.307856,0.946191,0.716635,0.103053,1.664671,0.125315,-0.205094,2.832945,0.207432,-0.310286,0.122664,0.711224,-0.262665,2.168619,0.157595,0.469918,1.664083,0.951812,-0.208315,0.898066,0.4107,0.238748,2.87255,0.916946,0.202313,2.219719,1.032312,0.286612,1.876406,0.872514,-0.212222,1.871693,0.331097
0.58,0.308048,0.946188,0.716372,0.096497,1.661725,0.128207,-0.204451,2.833714,0.207587,-0.310227,0.122688,0.711173,-0.266323,2.169126,0.159236,0.469588,1.663711,0.957691,-0.206223,0.897809,0.411018,0.238761,2.872077,0.917531,0.202462,2.219475,1.03397,0.287346,1.87612,0.874036,-0.209101,1.869663,0.335999
