Format Version,1.22,,,Capture Frame Rate,120,Export Frame Rate,120
,,,,,,,
,,Marker,Marker,Marker,,,
,,MarkerSet 01:index,MarkerSet 01:index,MarkerSet 01:index,,,
,,93A035E647D911E8FE02933ACAB89BAE,93A035E647D911E8FE02933ACAB89BAE,93A035E647D911E8FE02933ACAB89BAE,,,
,,Position,Position,Position,,,
Frame,Time (Seconds),X,Y,Z,,,
311,2.591667,-0.023955,0.071279,0.015295,,,
312,2.6,-0.024546,0.07255,0.014975,,,
313,2.608333,-0.024955,0.073937,0.014646,,,
314,2.616667,-0.025408,0.075005,0.014408,,,
315,2.625,-0.025715,0.07601,0.014125,,,
316,2.633333,-0.026087,0.076662,0.01387,,,
317,2.641667,-0.026348,0.077165,0.013513,,,
318,2.65,-0.02654,0.077597,0.013204,,,
319,2.658333,-0.026605,0.078138,0.01289,,,
320,2.666667,-0.026841,0.078392,0.012593,,,
321,2.675,-0.026962,0.078716,0.012337,,,
322,2.683333,-0.026904,0.07918,0.012078,,,
323,2.691667,-0.026982,0.079405,0.0118,,,
324,2.7,-0.027036,0.079645,0.011479,,,
325,2.708333,-0.027074,0.079932,0.011233,,,
326,2.716667,-0.027084,0.080213,0.010995,,,
327,2.725,-0.027128,0.080409,0.010722,,,
328,2.733333,-0.027192,0.080533,0.010519,,,
329,2.741667,-0.027241,0.080625,0.010339,,,
330,2.75,-0.027178,0.080812,0.010128,,,
331,2.758333,-0.027121,0.08095,0.009923,,,
332,2.766667,-0.027186,0.080855,0.009748,,,
333,2.775,-0.027175,0.080821,0.009627,,,
334,2.783333,-0.027119,0.080865,0.009497,,,
335,2.791667,-0.027059,0.080898,0.009375,,,
336,2.8,-0.026967,0.080981,0.009255,,,
337,2.808333,-0.026943,0.080983,0.009181,,,
338,2.816667,-0.026973,0.080897,0.009099,,,
339,2.825,-0.026958,0.080876,0.009045,,,
340,2.833333,-0.026951,0.080805,0.008991,,,
341,2.841667,-0.026921,0.080722,0.008969,,,
342,2.85,-0.026843,0.080661,0.008958,,,
343,2.858333,-0.026724,0.080549,0.008947,,,
344,2.866667,-0.026563,0.080382,0.009,,,
345,2.875,-0.02641,0.080134,0.009053,,,
346,2.883333,-0.026286,0.079813,0.009114,,,
347,2.891667,-0.026043,0.079569,0.009222,,,
348,2.9,-0.0259,0.079205,0.00934,,,
349,2.908333,-0.025729,0.078794,0.009511,,,
350,2.916667,-0.025505,0.07849,0.009665,,,
351,2.925,-0.025264,0.078124,0.009821,,,
352,2.933333,-0.0251,0.077587,0.010017,,,
353,2.941667,-0.024858,0.077109,0.01022,,,
354,2.95,-0.02453,0.076688,0.010455,,,
355,2.958333,-0.024222,0.076075,0.01075,,,
356,2.966667,-0.023863,0.075427,0.010993,,,
357,2.975,-0.02349,0.07466,0.011251,,,
358,2.983333,-0.023115,0.073782,0.011512,,,
359,2.991667,-0.022542,0.073058,0.011767,,,
360,3,-0.022085,0.072048,0.012049,,,
361,3.008333,-0.02148,0.071146,0.012253,,,
362,3.016667,-0.020912,0.070081,0.012504,,,
363,3.025,-0.02035,0.068978,0.01272,,,
364,3.033333,-0.019678,0.067996,0.012924,,,
365,3.041667,-0.019149,0.066772,0.013124,,,
366,3.05,-0.018467,0.065728,0.013282,,,
367,3.058333,-0.017779,0.064686,0.013439,,,
368,3.066667,-0.017197,0.063513,0.013651,,,
369,3.075,-0.016489,0.062471,0.013807,,,
370,3.083333,-0.015785,0.061401,0.013954,,,
371,3.091667,-0.015146,0.060162,0.014063,,,
372,3.1,-0.014538,0.058913,0.014128,,,
373,3.108333,-0.013817,0.057793,0.014135,,,
374,3.116667,-0.013214,0.056543,0.01412,,,
375,3.125,-0.012569,0.055389,0.014125,,,
376,3.133333,-0.012008,0.054202,0.014144,,,
377,3.141667,-0.011483,0.053097,0.014183,,,
378,3.15,-0.010996,0.051916,0.014291,,,
379,3.158333,-0.01053,0.050656,0.014374,,,
380,3.166667,-0.010114,0.049423,0.014406,,,
381,3.175,-0.009699,0.048079,0.014439,,,
382,3.183333,-0.009319,0.046603,0.014539,,,
383,3.191667,-0.009053,0.045036,0.014677,,,
384,3.2,-0.00887,0.043398,0.014877,,,
385,3.208333,-0.008664,0.042292,0.015109,,,
386,3.216667,-0.008387,0.0418,0.015211,,,
387,3.225,-0.007873,0.042174,0.015286,,,
388,3.233333,-0.007602,0.0427,0.015308,,,
389,3.241667,-0.007886,0.042495,0.015313,,,
390,3.25,-0.008095,0.042187,0.014971,,,
391,3.258333,-0.007973,0.042235,0.01441,,,
392,3.266667,-0.007836,0.041976,0.014097,,,
393,3.275,-0.007643,0.041587,0.01383,,,
394,3.283333,-0.007597,0.041351,0.013312,,,
395,3.291667,-0.007553,0.04136,0.012508,,,
396,3.3,-0.00745,0.041436,0.011536,,,
397,3.308333,-0.0071,0.041862,0.010413,,,
398,3.316667,-0.006632,0.042473,0.008974,,,
399,3.325,-0.006002,0.043406,0.007247,,,
400,3.333333,-0.005457,0.044242,0.005466,,,
401,3.341667,-0.004931,0.045091,0.003726,,,
402,3.35,-0.004595,0.045766,0.002181,,,
403,3.358333,-0.004404,0.046344,0.000799,,,
404,3.366667,-0.004323,0.046795,-0.000519,,,
405,3.375,-0.004191,0.047301,-0.001765,,,
406,3.383333,-0.004101,0.047765,-0.002941,,,
407,3.391667,-0.004091,0.04819,-0.004015,,,
408,3.4,-0.004176,0.048668,-0.004972,,,
409,3.408333,-0.004208,0.049245,-0.005883,,,
410,3.416667,-0.004326,0.049672,-0.00672,,,
411,3.425,-0.004411,0.050185,-0.007472,,,
412,3.433333,-0.00453,0.050701,-0.008165,,,
413,3.441667,-0.004625,0.051302,-0.008778,,,
