Format Version,1.23,Take Name,Take 2024-04-16 11.47.16 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-16 11.47.16.236 AM,Capture Start Frame,311328,Total Frames in Take,6967,Total Exported Frames,6967,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1245,Unlabeled 1245,Unlabeled 1245,Unlabeled 1246,Unlabeled 1246,Unlabeled 1246,Unlabeled 1247,Unlabeled 1247,Unlabeled 1247,Unlabeled 1248,Unlabeled 1248,Unlabeled 1248,Unlabeled 1249,Unlabeled 1249,Unlabeled 1249
,ID,"D0880","D0880","D0880","D08E0","D08E0","D08E0","D0900","D0900","D0900","D0910","D0910","D0910","D0920","D0920","D0920"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
93,0.775000,0.288301,-0.048435,-0.073364,0.260789,-0.025424,0.038213,0.239113,-0.022586,-0.004468,,,,,,
94,0.783333,0.288283,-0.048432,-0.073366,0.260793,-0.025409,0.038214,0.239116,-0.022576,-0.004465,,,,,,
95,0.791667,0.288298,-0.048409,-0.073368,0.260805,-0.025388,0.038214,0.239120,-0.022555,-0.004466,,,,,,
96,0.800000,0.288261,-0.048398,-0.073369,0.260814,-0.025377,0.038215,0.239115,-0.022539,-0.004473,,,,,,
97,0.808333,0.288295,-0.048390,-0.073364,0.260810,-0.025367,0.038215,0.239121,-0.022532,-0.004466,,,,,,
98,0.816667,0.288282,-0.048403,-0.073363,0.260791,-0.025377,0.038213,0.239122,-0.022539,-0.004466,,,,,,
99,0.825000,0.288286,-0.048411,-0.073363,0.260804,-0.025384,0.038215,0.239127,-0.022548,-0.004464,,,,,,
100,0.833333,0.288298,-0.048410,-0.073362,0.260809,-0.025385,0.038218,0.239096,-0.022568,-0.004467,,,,,,
101,0.841667,0.288286,-0.048414,-0.073369,0.260794,-0.025388,0.038212,0.239126,-0.022555,-0.004467,,,,,,
102,0.850000,0.288290,-0.048401,-0.073371,0.260774,-0.025398,0.038207,0.239131,-0.022548,-0.004465,,,,,,
103,0.858333,0.288302,-0.048393,-0.073367,0.260797,-0.025388,0.038211,0.239092,-0.022560,-0.004467,,,,,,
104,0.866667,0.288314,-0.048394,-0.073368,0.260781,-0.025398,0.038209,0.239126,-0.022548,-0.004464,,,,,,
105,0.875000,0.288293,-0.048409,-0.073370,0.260824,-0.025396,0.038215,0.239109,-0.022568,-0.004463,,,,,,
106,0.883333,0.288321,-0.048414,-0.073370,0.260767,-0.025413,0.038203,0.239112,-0.022576,-0.004461,,,,,,
107,0.891667,0.288328,-0.048402,-0.073371,0.260776,-0.025406,0.038203,0.239115,-0.022568,-0.004469,,,,,,
108,0.900000,0.288312,-0.048389,-0.073365,0.260809,-0.025369,0.038213,0.239120,-0.022542,-0.004460,,,,,,
109,0.908333,0.288284,-0.048370,-0.073359,0.260774,-0.025358,0.038214,0.239131,-0.022514,-0.004459,,,,,,
110,0.916667,0.288291,-0.048373,-0.073361,0.260809,-0.025351,0.038219,0.239123,-0.022521,-0.004460,,,,,,
111,0.925000,0.288304,-0.048389,-0.073359,0.260799,-0.025386,0.038213,0.239116,-0.022547,-0.004460,,,,,,
112,0.933333,0.288340,-0.048407,-0.073360,0.260793,-0.025409,0.038208,0.239117,-0.022569,-0.004461,,,,,,
113,0.941667,0.288305,-0.048422,-0.073361,0.260812,-0.025413,0.038217,0.239134,-0.022575,-0.004463,,,,,,
114,0.950000,0.288335,-0.048404,-0.073356,0.260797,-0.025408,0.038219,0.239141,-0.022561,-0.004454,,,,,,
115,0.958333,0.288326,-0.048390,-0.073357,0.260792,-0.025398,0.038219,0.239126,-0.022558,-0.004458,,,,,,
116,0.966667,0.288301,-0.048393,-0.073357,0.260805,-0.025387,0.038216,0.239116,-0.022552,-0.004457,,,,,,
117,0.975000,0.288292,-0.048397,-0.073359,0.260804,-0.025385,0.038216,0.239109,-0.022559,-0.004463,,,,,,
118,0.983333,0.288296,-0.048400,-0.073359,0.260778,-0.025403,0.038214,0.239123,-0.022564,-0.004463,,,,,,
119,0.991667,0.288315,-0.048403,-0.073355,0.260797,-0.025397,0.038223,0.239128,-0.022565,-0.004458,,,,,,
120,1.000000,0.288309,-0.048403,-0.073351,0.260806,-0.025395,0.038221,0.239134,-0.022557,-0.004454,,,,,,
121,1.008333,0.288325,-0.048389,-0.073357,0.260798,-0.025383,0.038217,0.239144,-0.022545,-0.004456,,,,,,
122,1.016667,0.288288,-0.048375,-0.073361,0.260780,-0.025372,0.038211,0.239133,-0.022533,-0.004462,,,,,,
123,1.025000,0.288330,-0.048358,-0.073362,0.260823,-0.025366,0.038217,0.239137,-0.022527,-0.004459,,,,,,
124,1.033333,0.288303,-0.048373,-0.073368,0.260822,-0.025371,0.038219,0.239134,-0.022543,-0.004457,,,,,,
125,1.041667,0.288307,-0.048388,-0.073368,0.260808,-0.025400,0.038218,0.239120,-0.022569,-0.004462,,,,,,
126,1.050000,0.288332,-0.048401,-0.073365,0.260848,-0.025413,0.038224,0.239133,-0.022581,-0.004459,,,,,,
127,1.058333,0.288284,-0.048407,-0.073370,0.260809,-0.025425,0.038211,0.239140,-0.022582,-0.004457,,,,,,
128,1.066667,0.288291,-0.048391,-0.073370,0.260802,-0.025412,0.038217,0.239122,-0.022570,-0.004458,,,,,,
129,1.075000,0.288293,-0.048379,-0.073367,0.260814,-0.025389,0.038217,0.239150,-0.022552,-0.004456,,,,,,
130,1.083333,0.288282,-0.048375,-0.073368,0.260803,-0.025386,0.038213,0.239149,-0.022536,-0.004454,,,,,,
131,1.091667,0.288277,-0.048369,-0.073368,0.260812,-0.025374,0.038215,0.239131,-0.022539,-0.004459,,,,,,
132,1.100000,0.288316,-0.048363,-0.073368,0.260824,-0.025371,0.038211,0.239152,-0.022536,-0.004454,,,,,,
133,1.108333,0.288304,-0.048364,-0.073363,0.260814,-0.025368,0.038211,0.239117,-0.022544,-0.004460,,,,,,
134,1.116667,0.288283,-0.048369,-0.073362,0.260828,-0.025364,0.038215,0.239127,-0.022546,-0.004455,,,,,,
135,1.125000,0.288294,-0.048360,-0.073368,0.260823,-0.025376,0.038209,0.239153,-0.022535,-0.004452,,,,,,
136,1.133333,0.288284,-0.048369,-0.073375,0.260854,-0.025380,0.038213,0.239163,-0.022545,-0.004454,,,,,,
137,1.141667,0.288259,-0.048373,-0.073375,0.260841,-0.025385,0.038211,0.239144,-0.022552,-0.004458,,,,,,
138,1.150000,0.288276,-0.048384,-0.073375,0.260838,-0.025399,0.038210,0.239150,-0.022565,-0.004453,,,,,,
139,1.158333,0.288291,-0.048391,-0.073378,0.260851,-0.025413,0.038209,0.239144,-0.022586,-0.004454,,,,,,
140,1.166667,0.288325,-0.048386,-0.073374,0.260835,-0.025420,0.038207,0.239135,-0.022590,-0.004453,,,,,,
141,1.175000,0.288312,-0.048382,-0.073378,0.260843,-0.025400,0.038207,0.239161,-0.022572,-0.004453,,,,,,
142,1.183333,0.288306,-0.048363,-0.073377,0.260849,-0.025373,0.038206,0.239154,-0.022551,-0.004458,,,,,,
143,1.191667,0.288261,-0.048344,-0.073376,0.260808,-0.025357,0.038200,0.239114,-0.022535,-0.004458,,,,,,
144,1.200000,0.288279,-0.048345,-0.073377,0.260815,-0.025355,0.038204,0.239148,-0.022528,-0.004458,,,,,,
145,1.208333,0.288297,-0.048352,-0.073378,0.260842,-0.025359,0.038206,0.239146,-0.022533,-0.004454,,,,,,
146,1.216667,0.288292,-0.048371,-0.073380,0.260813,-0.025392,0.038196,0.239146,-0.022558,-0.004457,,,,,,
147,1.225000,0.288311,-0.048376,-0.073384,0.260836,-0.025399,0.038200,0.239163,-0.022569,-0.004457,,,,,,
148,1.233333,0.288317,-0.048380,-0.073384,0.260858,-0.025406,0.038205,0.239152,-0.022585,-0.004457,,,,,,
149,1.241667,0.288301,-0.048385,-0.073386,0.260861,-0.025410,0.038205,0.239159,-0.022584,-0.004455,,,,,,
150,1.250000,0.288314,-0.048373,-0.073381,0.260833,-0.025407,0.038196,0.239180,-0.022571,-0.004453,,,,,,
151,1.258333,0.288287,-0.048373,-0.073386,0.260857,-0.025389,0.038197,0.239154,-0.022570,-0.004457,,,,,,
152,1.266667,0.288289,-0.048367,-0.073384,0.260864,-0.025376,0.038204,0.239153,-0.022561,-0.004455,,,,,,
153,1.275000,0.288275,-0.048367,-0.073382,0.260830,-0.025381,0.038192,0.239163,-0.022552,-0.004455,,,,,,
154,1.283333,0.288311,-0.048354,-0.073379,0.260859,-0.025362,0.038202,0.239174,-0.022547,-0.004453,,,,,,
155,1.291667,0.288305,-0.048344,-0.073385,0.260842,-0.025362,0.038195,0.239187,-0.022531,-0.004452,,,,,,
156,1.300000,0.288298,-0.048348,-0.073383,0.260860,-0.025357,0.038205,0.239175,-0.022532,-0.004456,,,,,,
157,1.308333,0.288280,-0.048350,-0.073386,0.260848,-0.025362,0.038198,0.239185,-0.022537,-0.004453,,,,,,
158,1.316667,0.288294,-0.048364,-0.073392,0.260867,-0.025378,0.038200,0.239171,-0.022563,-0.004455,,,,,,
159,1.325000,0.288299,-0.048378,-0.073392,0.260830,-0.025412,0.038190,0.239168,-0.022578,-0.004456,,,,,,
160,1.333333,0.288297,-0.048383,-0.073392,0.260892,-0.025400,0.038199,0.239184,-0.022578,-0.004455,,,,,,
