Format Version,1.23,Take Name,jon dominant hand,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-03-05 10.43.18.665 AM,Capture Start Frame,130477,Total Frames in Take,934,Total Exported Frames,934,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001,Unlabeled 1002,Unlabeled 1002,Unlabeled 1002,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005
,ID,"F00A0","F00A0","F00A0","F0110","F0110","F0110","F0380","F0380","F0380","F03D0","F03D0","F03D0","F03E0","F03E0","F03E0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
151,1.258333,0.019092,0.038749,0.100870,-0.076648,-0.003514,0.183389,-0.056304,0.050961,0.203786,,,,,,
152,1.266667,0.019343,0.038576,0.100931,-0.076652,-0.003497,0.182973,-0.056457,0.050954,0.203536,,,,,,
153,1.275000,0.019418,0.038550,0.100835,-0.076781,-0.003453,0.182339,-0.056814,0.050971,0.202995,,,,,,
154,1.283333,0.019375,0.038515,0.100676,-0.077077,-0.003417,0.181405,-0.057154,0.050856,0.202593,,,,,,
155,1.291667,0.019449,0.038542,0.100468,-0.077552,-0.003469,0.180464,-0.057755,0.050673,0.201845,,,,,,
156,1.300000,0.019317,0.038595,0.100084,-0.078112,-0.003416,0.179270,-0.058408,0.050482,0.201193,,,,,,
157,1.308333,0.019561,0.038435,0.100084,-0.078565,-0.003493,0.178238,-0.058981,0.050218,0.200507,,,,,,
158,1.316667,0.019549,0.038434,0.099984,-0.078925,-0.003542,0.177178,-0.059512,0.049961,0.199951,,,,,,
159,1.325000,0.019537,0.038433,0.099890,-0.079243,-0.003631,0.176138,-0.060126,0.049835,0.199265,,,,,,
160,1.333333,0.019569,0.038403,0.099840,-0.079559,-0.003663,0.175070,-0.060758,0.049683,0.198555,,,,,,
161,1.341667,0.019857,0.038281,0.099892,-0.079657,-0.003679,0.174273,-0.061230,0.049641,0.198030,,,,,,
162,1.350000,0.019655,0.038374,0.099563,-0.079499,-0.003840,0.173617,-0.061593,0.049634,0.197513,,,,,,
163,1.358333,0.019312,0.038511,0.099074,-0.079449,-0.003813,0.172949,-0.061878,0.049677,0.197042,,,,,,
164,1.366667,0.019246,0.038528,0.098887,-0.078937,-0.003946,0.172859,-0.061921,0.049718,0.196887,,,,,,
165,1.375000,0.019130,0.038517,0.098657,-0.078476,-0.003944,0.172708,-0.061923,0.049911,0.196702,,,,,,
166,1.383333,0.019073,0.038627,0.098593,-0.077532,-0.004021,0.173067,-0.061697,0.050148,0.196691,,,,,,
167,1.391667,0.019100,0.038603,0.098536,-0.076472,-0.004092,0.173631,-0.061255,0.050424,0.196892,,,,,,
168,1.400000,0.018853,0.038694,0.098226,-0.075561,-0.004032,0.174040,-0.060742,0.050655,0.197226,,,,,,
169,1.408333,0.018962,0.038543,0.098243,-0.074537,-0.004011,0.174523,-0.060251,0.050948,0.197433,,,,,,
170,1.416667,0.019009,0.038704,0.098217,-0.073489,-0.004118,0.175062,-0.059680,0.050968,0.197895,,,,,,
171,1.425000,0.019111,0.038677,0.098246,-0.072944,-0.004101,0.175099,-0.059461,0.051127,0.197897,,,,,,
172,1.433333,0.019443,0.038640,0.098443,-0.072315,-0.004156,0.175172,-0.059342,0.051201,0.197869,,,,,,
173,1.441667,0.019401,0.038771,0.098285,-0.071966,-0.004061,0.174860,-0.059318,0.051278,0.197786,,,,,,
174,1.450000,0.019549,0.038765,0.098339,-0.071488,-0.004142,0.174550,-0.059443,0.051317,0.197594,,,,,,
175,1.458333,0.019603,0.038762,0.098319,-0.071493,-0.004109,0.173953,-0.059737,0.051339,0.197237,,,,,,
176,1.466667,0.019837,0.038805,0.098440,-0.071351,-0.004187,0.173385,-0.060076,0.051278,0.196888,,,,,,
177,1.475000,0.020161,0.038662,0.098581,-0.071615,-0.004240,0.172468,-0.060448,0.051106,0.196495,,,,,,
178,1.483333,0.020276,0.038684,0.098573,-0.072101,-0.004246,0.171324,-0.061241,0.050985,0.195670,,,,,,
179,1.491667,0.020487,0.038819,0.098765,-0.072625,-0.004245,0.170146,-0.061999,0.050878,0.194902,,,,,,
180,1.500000,0.020429,0.038761,0.098660,-0.073103,-0.004249,0.168951,-0.062862,0.050809,0.193959,,,,,,
181,1.508333,0.020443,0.038804,0.098599,-0.073521,-0.004281,0.167725,-0.063957,0.050870,0.192711,,,,,,
182,1.516667,0.020781,0.038707,0.098707,-0.073813,-0.004349,0.166619,-0.064689,0.050780,0.191864,,,,,,
183,1.525000,0.021067,0.038658,0.098845,-0.073915,-0.004517,0.165753,-0.065552,0.050793,0.190746,,,,,,
184,1.533333,0.020856,0.038627,0.098551,-0.074081,-0.004538,0.164847,-0.066264,0.050750,0.189834,,,,,,
185,1.541667,0.020864,0.038649,0.098402,-0.074035,-0.004673,0.164215,-0.066923,0.050851,0.188832,,,,,,
186,1.550000,0.020828,0.038534,0.098350,-0.073869,-0.004825,0.163928,-0.067227,0.050817,0.188377,,,,,,
187,1.558333,0.020780,0.038636,0.098166,-0.073829,-0.004838,0.163677,-0.067492,0.050877,0.187886,,,,,,
188,1.566667,0.020700,0.038724,0.098039,-0.073637,-0.004815,0.163569,-0.067505,0.050892,0.187816,,,,,,
189,1.575000,0.020598,0.038808,0.097962,-0.073311,-0.004789,0.163691,-0.067383,0.050899,0.187917,,,,,,
