Format Version,1.23,Take Name,jon non dominant,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-03-05 10.47.35.894 AM,Capture Start Frame,161350,Total Frames in Take,2060,Total Exported Frames,2060,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1010,Unlabeled 1010,Unlabeled 1010,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012
,ID,"F3260","F3260","F3260","F32B0","F32B0","F32B0","F32E0","F32E0","F32E0","F3320","F3320","F3320","F3330","F3330","F3330","F3340","F3340","F3340"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
143,1.191667,0.051172,0.044791,0.184617,0.015090,0.017850,0.144821,,,,,,,,,,,,
144,1.200000,0.051331,0.044942,0.184677,0.015372,0.017839,0.145052,,,,,,,,,,,,
145,1.208333,0.051587,0.044966,0.184832,0.015499,0.017847,0.145156,,,,,,,,,,,,
146,1.216667,0.051735,0.044971,0.184869,0.015597,0.017846,0.145235,,,,,,,,,,,,
147,1.225000,0.051963,0.044939,0.185008,0.015668,0.017865,0.145295,,,,,,,,,,,,
148,1.233333,0.052105,0.044930,0.185086,0.015809,0.017846,0.145487,,,,,,,,,,,,
149,1.241667,0.052259,0.044931,0.185193,0.016024,0.017794,0.145748,,,,,,,,,,,,
150,1.250000,0.052392,0.044930,0.185321,0.016103,0.017752,0.145965,,,,,,,,,,,,
151,1.258333,0.052511,0.044923,0.185486,0.016090,0.017760,0.146169,,,,,,,,,,,,
152,1.266667,0.052553,0.044971,0.185593,0.016117,0.017760,0.146358,,,,,,,,,,,,
153,1.275000,0.052466,0.045068,0.185574,0.015868,0.017854,0.146387,,,,,,,,,,,,
154,1.283333,0.052406,0.045144,0.185649,0.015950,0.017829,0.146704,,,,,,,,,,,,
155,1.291667,0.052420,0.045213,0.185831,0.016046,0.017694,0.147162,,,,,,,,,,,,
156,1.300000,0.052557,0.045166,0.186213,0.015854,0.017708,0.147338,,,,,,,,,,,,
157,1.308333,0.052564,0.045138,0.186487,0.015569,0.017785,0.147324,,,,,,,,,,,,
158,1.316667,0.052183,0.045262,0.186372,0.015315,0.017766,0.147507,,,,,,,,,,,,
159,1.325000,0.051849,0.045347,0.186323,0.015261,0.017619,0.147979,,,,,,,,,,,,
160,1.333333,0.051728,0.045345,0.186591,0.014796,0.017696,0.147943,,,,,,,,,,,,
161,1.341667,0.051660,0.045284,0.186899,0.014448,0.017729,0.148091,,,,,,,,,,,,
162,1.350000,0.051520,0.045309,0.187132,0.014261,0.017581,0.148514,,,,,,,,,,,,
163,1.358333,0.050886,0.045512,0.186841,0.013746,0.017693,0.148479,,,,,,,,,,,,
164,1.366667,0.050523,0.045608,0.186859,0.013211,0.017707,0.148648,,,,,,,,,,,,
165,1.375000,0.050341,0.045534,0.186983,0.012839,0.017624,0.148918,,,,,,,,,,,,
166,1.383333,0.050207,0.045416,0.187201,0.012433,0.017630,0.149055,,,,,,,,,,,,
167,1.391667,0.049859,0.045395,0.187155,0.011821,0.017638,0.149046,,,,,,,,,,,,
168,1.400000,0.049432,0.045421,0.186962,0.011462,0.017595,0.149085,,,,,,,,,,,,
169,1.408333,0.049212,0.045315,0.186962,0.010857,0.017627,0.149184,,,,,,,,,,,,
170,1.416667,0.048857,0.045289,0.186779,0.010643,0.017559,0.149349,,,,,,,,,,,,
171,1.425000,0.048752,0.045162,0.186822,0.010164,0.017554,0.149292,,,,,,,,,,,,
172,1.433333,0.048451,0.045097,0.186629,0.009591,0.017564,0.149202,,,,,,,,,,,,
173,1.441667,0.048005,0.045127,0.186326,0.009039,0.017641,0.149030,,,,,,,,,,,,
174,1.450000,0.047783,0.044997,0.186324,0.008662,0.017614,0.148997,,,,,,,,,,,,
175,1.458333,0.047650,0.044895,0.186492,0.008390,0.017592,0.149144,,,,,,,,,,,,
176,1.466667,0.047458,0.044883,0.186444,0.007952,0.017714,0.148996,,,,,,,,,,,,
177,1.475000,0.047379,0.044788,0.186532,0.007502,0.017931,0.148696,,,,,,,,,,,,
178,1.483333,0.047241,0.044691,0.186528,0.007429,0.017989,0.148624,,,,,,,,,,,,
179,1.491667,0.047265,0.044517,0.186630,0.007479,0.018013,0.148581,,,,,,,,,,,,
180,1.500000,0.047257,0.044433,0.186625,0.007471,0.018120,0.148255,,,,,,,,,,,,
181,1.508333,0.047217,0.044444,0.186535,0.007636,0.018276,0.147949,,,,,,,,,,,,
182,1.516667,0.047242,0.044480,0.186510,0.007939,0.018409,0.147726,,,,,,,,,,,,
183,1.525000,0.047263,0.044562,0.186478,0.008323,0.018560,0.147554,,,,,,,,,,,,
184,1.533333,0.047366,0.044612,0.186522,0.008647,0.018665,0.147451,,,,,,,,,,,,
185,1.541667,0.047275,0.044757,0.186292,0.008825,0.018837,0.147121,,,,,,,,,,,,
186,1.550000,0.047330,0.044764,0.186274,0.009085,0.018862,0.147117,,,,,,,,,,,,
187,1.558333,0.047403,0.044833,0.186262,0.009101,0.019091,0.146865,,,,,,,,,,,,
188,1.566667,0.047336,0.045055,0.186028,0.009422,0.019244,0.146816,,,,,,,,,,,,
189,1.575000,0.047413,0.045338,0.185821,0.009739,0.019413,0.146693,,,,,,,,,,,,
