Format Version,1.23,Take Name,Lab7-Task2-Subject3-001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-16 11.28.09.855 AM,Capture Start Frame,416449,Total Frames in Take,4461,Total Exported Frames,4461,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1060,Unlabeled 1060,Unlabeled 1060,Unlabeled 1061,Unlabeled 1061,Unlabeled 1061,Unlabeled 1062,Unlabeled 1062,Unlabeled 1062,Unlabeled 1063,Unlabeled 1063,Unlabeled 1063
,ID,"C7BD0","C7BD0","C7BD0","C7BE0","C7BE0","C7BE0","C7BF0","C7BF0","C7BF0","C7C00","C7C00","C7C00"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
149,1.241667,0.014589,0.015888,0.172925,0.065605,0.020907,0.162269,0.094717,0.078731,0.039325,,,
150,1.250000,0.014141,0.016929,0.172576,0.066346,0.020920,0.162326,0.094884,0.079201,0.038927,,,
151,1.258333,0.013617,0.018107,0.172227,0.067736,0.021018,0.162618,0.095039,0.079774,0.038604,,,
152,1.266667,0.012996,0.019420,0.171904,0.069737,0.021168,0.162961,0.095198,0.080341,0.038072,,,
153,1.275000,0.012371,0.020900,0.171584,0.072046,0.021498,0.163323,0.095304,0.081019,0.037665,,,
154,1.283333,0.011666,0.022642,0.171436,0.074447,0.022162,0.163679,0.095429,0.081742,0.037148,,,
155,1.291667,0.011082,0.024674,0.171481,0.076745,0.023201,0.163914,0.095562,0.082564,0.036612,,,
156,1.300000,0.010766,0.026794,0.171388,0.078917,0.024626,0.164123,0.095652,0.083477,0.036043,,,
157,1.308333,0.010765,0.028963,0.171307,0.080953,0.026541,0.164309,0.095688,0.084462,0.035484,,,
158,1.316667,0.011090,0.031107,0.171134,0.082778,0.028988,0.164383,0.095724,0.085516,0.034835,,,
159,1.325000,0.011731,0.033131,0.170715,0.084316,0.031902,0.164511,0.095756,0.086568,0.034145,,,
160,1.333333,0.012766,0.035219,0.170322,0.085695,0.035179,0.164551,0.095824,0.087595,0.033438,,,
161,1.341667,0.014218,0.037400,0.169845,0.086990,0.038701,0.164472,0.095944,0.088539,0.032625,,,
162,1.350000,0.015996,0.039945,0.169432,0.088214,0.042376,0.164339,0.096056,0.089454,0.031969,,,
163,1.358333,0.017840,0.043131,0.169486,0.089331,0.046196,0.164195,0.096238,0.090353,0.031291,,,
164,1.366667,0.019759,0.046625,0.169234,0.090385,0.050054,0.164112,0.096524,0.091209,0.030616,,,
165,1.375000,0.021853,0.050289,0.169004,0.091486,0.053832,0.163772,0.096816,0.092040,0.030076,,,
166,1.383333,0.024189,0.053813,0.168349,0.092513,0.057680,0.163451,0.097122,0.092819,0.029594,,,
167,1.391667,0.026642,0.057381,0.167728,0.093488,0.061673,0.163111,0.097447,0.093575,0.029086,,,
168,1.400000,0.029152,0.060950,0.167333,0.094479,0.065690,0.162843,0.097849,0.094399,0.028658,,,
169,1.408333,0.031719,0.064466,0.167286,0.095637,0.069449,0.162491,0.098319,0.095921,0.029527,,,
170,1.416667,0.034124,0.067599,0.167217,0.096900,0.072985,0.162278,0.098755,0.097883,0.031614,,,
171,1.425000,0.036318,0.070377,0.167447,0.098225,0.076245,0.162058,0.099232,0.099943,0.033773,,,
172,1.433333,0.038271,0.072853,0.167734,0.099521,0.079273,0.162031,,,,,,
173,1.441667,0.039924,0.075035,0.167994,0.100827,0.082075,0.162116,,,,,,
174,1.450000,0.041643,0.076897,0.168322,0.102187,0.084678,0.162247,,,,,,
175,1.458333,0.043331,0.078648,0.169140,0.103518,0.087184,0.162465,,,,,,
176,1.466667,0.045277,0.080262,0.169997,0.104753,0.089652,0.162566,,,,,,
177,1.475000,0.047424,0.081867,0.171009,0.105928,0.092192,0.162592,,,,,,
178,1.483333,0.049824,0.083509,0.172304,0.107091,0.094860,0.162596,,,,,,
179,1.491667,0.052362,0.085215,0.173783,0.108263,0.097500,0.162591,,,,,,
180,1.500000,0.054835,0.086769,0.175311,0.109458,0.099881,0.162540,,,,,,
181,1.508333,0.057182,0.088072,0.177055,0.110725,0.101837,0.162601,,,,,,
182,1.516667,0.059386,0.089225,0.178846,0.112228,0.103305,0.162941,,,,,,
183,1.525000,0.061363,0.090029,0.180567,0.114134,0.104397,0.163271,,,,,,
184,1.533333,0.063275,0.090654,0.182326,0.116189,0.105363,0.163746,,,,,,
185,1.541667,0.064846,0.091259,0.184495,0.118391,0.106262,0.164100,,,,,,
186,1.550000,0.066054,0.091802,0.186640,0.120699,0.107093,0.164300,,,,,,
