Format Version,1.23,Take Name,Lab7- Task 2_Take1_Sub 1_002,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-04-16 11.21.45.505 AM,Capture Start Frame,370323,Total Frames in Take,4920,Total Exported Frames,4920,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1047,Unlabeled 1047,Unlabeled 1047,Unlabeled 1048,Unlabeled 1048,Unlabeled 1048,Unlabeled 1049,Unlabeled 1049,Unlabeled 1049,Unlabeled 1050,Unlabeled 1050,Unlabeled 1050
,ID,"C7290","C7290","C7290","C73E0","C73E0","C73E0","C7460","C7460","C7460","C7480","C7480","C7480"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
97,0.808333,0.167664,0.029618,-0.140780,0.093164,0.033906,-0.086967,0.107904,0.062288,-0.263085,,,
98,0.816667,0.167083,0.030172,-0.139772,0.092310,0.034991,-0.085986,0.107283,0.062967,-0.262110,,,
99,0.825000,0.166492,0.030927,-0.138614,0.091287,0.036233,-0.084944,0.106610,0.063662,-0.261136,,,
100,0.833333,0.165908,0.031898,-0.137389,0.090029,0.037837,-0.083381,0.105893,0.064452,-0.259941,,,
101,0.841667,0.165320,0.033106,-0.136002,0.088815,0.039400,-0.082252,0.105211,0.065312,-0.258764,,,
102,0.850000,0.164780,0.034452,-0.134812,0.087582,0.041057,-0.080829,0.104492,0.066247,-0.257528,,,
103,0.858333,0.164161,0.035988,-0.133283,0.086432,0.042616,-0.079461,0.103720,0.067258,-0.256203,,,
104,0.866667,0.163558,0.037620,-0.131735,0.085312,0.044169,-0.077781,0.102888,0.068363,-0.254626,,,
105,0.875000,0.162946,0.039266,-0.130000,0.084368,0.045467,-0.076566,0.102083,0.069421,-0.253326,,,
106,0.883333,0.162430,0.040808,-0.128466,0.083351,0.046933,-0.074891,0.101260,0.070553,-0.251792,,,
107,0.891667,0.161798,0.042344,-0.126728,0.082219,0.048572,-0.073154,0.100483,0.071614,-0.250466,,,
108,0.900000,0.161086,0.043941,-0.124718,0.081002,0.050375,-0.071578,0.099647,0.072761,-0.248724,,,
109,0.908333,0.160400,0.045520,-0.122864,0.079666,0.052352,-0.069987,0.098855,0.073907,-0.246842,,,
110,0.916667,0.159633,0.047115,-0.120800,0.078264,0.054405,-0.068238,0.098307,0.074987,-0.245124,,,
111,0.925000,0.158810,0.048740,-0.118512,0.076859,0.056351,-0.066574,0.098066,0.076237,-0.242831,,,
112,0.933333,0.158088,0.050230,-0.116512,0.075491,0.058247,-0.064560,0.097787,0.077446,-0.240676,,,
113,0.941667,0.157247,0.051780,-0.113999,0.074131,0.060176,-0.062354,0.097239,0.078732,-0.238166,,,
114,0.950000,0.156377,0.053298,-0.111467,0.072732,0.062204,-0.060031,0.096626,0.079961,-0.235916,,,
115,0.958333,0.155425,0.054838,-0.108877,0.071196,0.064356,-0.057782,0.095936,0.081208,-0.233474,,,
116,0.966667,0.154228,0.056466,-0.105941,0.069492,0.066558,-0.055543,0.095097,0.082512,-0.230565,,,
117,0.975000,0.152959,0.058171,-0.103041,0.067626,0.068677,-0.053288,0.094278,0.083671,-0.228136,,,
118,0.983333,0.151526,0.060041,-0.099825,0.065416,0.070794,-0.050461,0.093236,0.084938,-0.225067,,,
119,0.991667,0.149947,0.062079,-0.096469,0.063034,0.072681,-0.048117,0.092216,0.086118,-0.222515,,,
120,1.000000,0.148252,0.064283,-0.092966,0.060380,0.074474,-0.045573,0.090976,0.087414,-0.219592,,,
121,1.008333,0.146511,0.066530,-0.089449,0.057578,0.076132,-0.042950,0.089730,0.088689,-0.216620,,,
122,1.016667,0.144848,0.068679,-0.086218,0.054803,0.077520,-0.040386,0.088502,0.089993,-0.213291,,,
123,1.025000,0.143206,0.070742,-0.082907,0.052220,0.078656,-0.037851,0.087160,0.091375,-0.209195,,,
124,1.033333,0.141581,0.072664,-0.079366,0.049774,0.079571,-0.035033,0.085903,0.092591,-0.205573,,,
125,1.041667,0.139989,0.074458,-0.075830,0.047537,0.080329,-0.032138,0.084780,0.093692,-0.202670,,,
126,1.050000,0.138479,0.076103,-0.072144,0.045514,0.081077,-0.029173,0.083632,0.094890,-0.199171,,,
127,1.058333,0.137103,0.077758,-0.068565,0.043716,0.081908,-0.026348,0.082705,0.095949,-0.196273,,,
128,1.066667,0.135895,0.079269,-0.065125,0.042025,0.082974,-0.023388,0.081728,0.097180,-0.192712,,,
129,1.075000,0.134744,0.080834,-0.061564,0.040369,0.084272,-0.020412,0.080963,0.098338,-0.189620,,,
130,1.083333,0.133792,0.082281,-0.058243,0.038740,0.085703,-0.017501,0.080168,0.099573,-0.185942,,,
131,1.091667,0.132847,0.083878,-0.054672,0.037057,0.087249,-0.014504,0.079554,0.100678,-0.182827,,,
132,1.100000,0.131983,0.085405,-0.051297,0.035388,0.088763,-0.011729,0.078962,0.101766,-0.179675,,,
133,1.108333,0.131113,0.087040,-0.047841,0.033784,0.090210,-0.008979,0.078314,0.102887,-0.176135,,,
134,1.116667,0.130268,0.088579,-0.044338,0.032262,0.091600,-0.005977,0.077766,0.103990,-0.173026,,,
135,1.125000,0.129528,0.090098,-0.040854,0.030825,0.092868,-0.003105,0.077249,0.105132,-0.169807,,,
136,1.133333,0.128834,0.091537,-0.037371,0.029375,0.094084,-0.000033,0.076705,0.106191,-0.166527,,,
137,1.141667,0.128190,0.092946,-0.033996,0.027916,0.095203,0.002913,0.076113,0.107239,-0.163077,,,
138,1.150000,0.127472,0.094210,-0.030546,0.026429,0.096209,0.005842,0.075588,0.108219,-0.159877,,,
139,1.158333,0.126747,0.095448,-0.027024,0.024952,0.097043,0.008860,0.075080,0.109142,-0.156564,,,
140,1.166667,0.126064,0.096670,-0.023540,0.023593,0.097694,0.011664,0.074597,0.110006,-0.153201,,,
141,1.175000,0.125464,0.097795,-0.020086,0.022421,0.098290,0.014719,0.074216,0.110818,-0.149940,,,
142,1.183333,0.124940,0.098751,-0.016587,0.021394,0.098846,0.017739,0.073880,0.111624,-0.146629,,,
143,1.191667,0.124518,0.099499,-0.013189,0.020391,0.099389,0.020638,0.073616,0.112355,-0.143406,,,
144,1.200000,0.124150,0.100111,-0.009822,0.019382,0.099997,0.023539,0.073463,0.113026,-0.140240,,,
145,1.208333,0.123798,0.100640,-0.006361,0.018387,0.100676,0.026360,0.073397,0.113654,-0.136943,,,
146,1.216667,0.123525,0.101035,-0.003042,0.017486,0.101421,0.029015,0.073421,0.114167,-0.133854,,,
147,1.225000,0.123424,0.101226,0.000064,0.016749,0.102236,0.031745,0.073492,0.114648,-0.130710,,,
148,1.233333,0.123368,0.101293,0.003240,0.016241,0.103054,0.034459,0.073604,0.115103,-0.127597,,,
149,1.241667,0.123446,0.101177,0.006142,0.015903,0.103873,0.037421,0.073738,0.115557,-0.124553,,,
150,1.250000,0.123480,0.101035,0.009391,0.015738,0.104593,0.040490,0.073934,0.115997,-0.121530,,,
151,1.258333,0.123550,0.100813,0.012530,0.015735,0.105101,0.043348,0.074145,0.116402,-0.118567,,,
152,1.266667,0.123696,0.100484,0.015446,0.015851,0.105432,0.046386,0.074354,0.116806,-0.115388,,,
153,1.275000,0.123830,0.100094,0.018394,0.016037,0.105546,0.049368,0.074580,0.117127,-0.112516,,,
154,1.283333,0.123942,0.099651,0.021442,0.016291,0.105428,0.052546,0.074792,0.117457,-0.109537,,,
155,1.291667,0.124022,0.099061,0.024405,0.016591,0.105068,0.055562,0.075013,0.117724,-0.106843,,,
156,1.300000,0.124150,0.098367,0.027134,0.016794,0.104517,0.058383,0.075228,0.117991,-0.103954,,,
157,1.308333,0.124186,0.097680,0.030121,0.016840,0.103879,0.061381,0.075392,0.118235,-0.101009,,,
158,1.316667,0.124126,0.096905,0.033132,0.016692,0.103124,0.064310,0.075576,0.118454,-0.097920,,,
159,1.325000,0.124037,0.096026,0.036119,0.016498,0.102256,0.066945,0.075842,0.118549,-0.095215,,,
160,1.333333,0.123935,0.095086,0.039041,0.016317,0.101348,0.069602,0.076101,0.118579,-0.092535,,,
161,1.341667,0.123833,0.094094,0.041779,0.016135,0.100410,0.072202,0.076317,0.118545,-0.089796,,,
162,1.350000,0.123658,0.093174,0.044682,0.015922,0.099487,0.074851,0.076419,0.118512,-0.086891,,,
163,1.358333,0.123447,0.092265,0.047382,0.015691,0.098513,0.077541,0.076454,0.118457,-0.084064,,,
164,1.366667,0.123207,0.091403,0.050230,0.015432,0.097420,0.080279,0.076460,0.118397,-0.081199,,,
165,1.375000,0.122958,0.090499,0.052940,0.015223,0.096066,0.082772,0.076484,0.118291,-0.078499,,,
166,1.383333,0.122700,0.089620,0.055751,0.015011,0.094527,0.085299,0.076510,0.118178,-0.075619,,,
167,1.391667,0.122471,0.088752,0.058422,0.014696,0.092983,0.087898,0.076502,0.118002,-0.072928,,,
168,1.400000,0.122305,0.087879,0.061054,0.014274,0.091512,0.090469,0.076515,0.117821,-0.070250,,,
169,1.408333,0.122178,0.086999,0.063798,0.013768,0.090039,0.092737,0.076587,0.117629,-0.067647,,,
170,1.416667,0.122108,0.086009,0.066455,0.013144,0.088732,0.095046,0.076733,0.117374,-0.065147,,,
171,1.425000,0.122049,0.084915,0.069082,0.012441,0.087453,0.097095,0.076935,0.117134,-0.062585,,,
172,1.433333,0.121963,0.083753,0.071608,0.011665,0.086290,0.099271,0.077102,0.116875,-0.060061,,,
173,1.441667,0.121870,0.082587,0.074060,0.010930,0.085201,0.101468,0.077220,0.116592,-0.057356,,,
174,1.450000,0.121792,0.081432,0.076509,0.010271,0.084115,0.103693,0.077288,0.116237,-0.054870,,,
175,1.458333,0.121656,0.080270,0.078928,0.009645,0.082944,0.105845,0.077367,0.115881,-0.052211,,,
176,1.466667,0.121539,0.079095,0.081249,0.008981,0.081744,0.108028,0.077462,0.115490,-0.049826,,,
177,1.475000,0.121391,0.077928,0.083610,0.008318,0.080434,0.109921,0.077638,0.115143,-0.047384,,,
178,1.483333,0.121279,0.076755,0.086071,0.007717,0.079128,0.111970,0.077880,0.114823,-0.045051,,,
179,1.491667,0.121274,0.075437,0.088339,0.007239,0.077847,0.114040,0.078138,0.114469,-0.042541,,,
180,1.500000,0.121309,0.074141,0.090584,0.006900,0.076575,0.115982,0.078344,0.114106,-0.040162,,,
181,1.508333,0.121399,0.072866,0.092660,0.006634,0.075424,0.118121,0.078543,0.113717,-0.037647,,,
182,1.516667,0.121534,0.071746,0.094844,0.006391,0.074319,0.120123,0.078809,0.113237,-0.035753,,,
183,1.525000,0.121713,0.070761,0.096968,0.006098,0.073247,0.122031,0.079086,0.112828,-0.033438,,,
184,1.533333,0.122002,0.069823,0.098975,0.005833,0.072138,0.123731,0.079409,0.112477,-0.031213,,,
185,1.541667,0.122346,0.068935,0.100982,0.005626,0.071031,0.125453,0.079795,0.112111,-0.028991,,,
186,1.550000,0.122688,0.068103,0.103042,0.005469,0.069907,0.127248,0.080218,0.111746,-0.027016,,,
187,1.558333,0.123093,0.067245,0.104886,0.005367,0.068712,0.128955,0.080599,0.111331,-0.024950,,,
188,1.566667,0.123469,0.066439,0.106842,0.005317,0.067438,0.130755,0.080985,0.110923,-0.022766,,,
189,1.575000,0.123915,0.065568,0.108742,0.005335,0.066073,0.132429,0.081407,0.110433,-0.020866,,,
190,1.583333,0.124292,0.064649,0.110789,0.005428,0.064682,0.134129,0.081785,0.110004,-0.018646,,,
